smiles,bbbp,mutagenicity,hia
CCN(C)C(=O)N(Cc1ccc(Cl)c(Cl)c1)C(=O)CN(c1cccc(Cl)c1Cl)S(=O)(=O)c1ccccc1,0.89,0.01,1.0
COc1cc(C(=O)N[C@H](C)c2nc3ccccc3n2Cc2ccccc2Cl)cc(OC)c1OC,0.35,0.12,1.0
CCCNC(=O)[C@H](CC)N(Cc1ccc(OC)cc1)C(=O)CN(Cc1ccccc1)c1ccc([N+](=O)[O-])cc1,0.25,0.34,1.0
COc1cc2occ(-c3ccc(O[C@@H]4CCCN(CC(F)(F)F)C4)c(O)c3)c(=O)c2c(OC)c1O,0.77,0.54,0.99
O=C(Nc1ccc(F)cc1)c1ccc2c(c1)[C@@H]1[C@H]3CC[C@@H](C3)[C@@H]1[C@H](c1ccccc1)N2,0.76,0.53,1.0
CCn1c(CC(=O)Nc2ccc(Cl)cc2)nnc1SCC(=O)Nc1nc(C)cs1,0.65,0.08,1.0
CCOc1cc(C=C2NC(=O)N(CC(=O)Nc3ccc(C)cc3)C2=O)cc(Cl)c1OCc1ccccc1,0.51,0.12,1.0
COc1ccc(Cl)cc1N[C]1NC(=O)C(=Cc2c(CN3CCNCC3)c3ccccc3n2Cc2ccc(Cl)cc2Cl)S1,0.65,0.26,1.0
CCC(=O)NC(=O)[C@@H](Cc1ccccc1)NC(=O)CNC(=O)C[C@H](NC(=O)[C@@H](Cc1ccccc1)NC(=O)CNC(=O)C(C)C)C(=O)O,0.33,0.1,0.09
COc1ccc(N2C(=S)N[C@H](c3ccccn3)[C@H]2c2ccc(C(C)(C)C)o2)cc1Cl,0.44,0.22,1.0
Cc1cccn2c(=O)c(C=NNc3nc4ccccc4s3)c(SCCN3CCOCC3)nc12,0.72,0.56,1.0
CCOC(=O)C1=C(C)N=c2sc(=Cc3ccc(OC(C)=O)cc3OC(C)=O)c(=O)n2[C+](C)CC1,0.51,0.18,0.99
COc1ccc(C[C@@H]2NC(=O)[C@H](CC(C)C)NC(=O)CN(C(=O)CN3CCCNC3)C[C@H](C(C)C)NC(=O)[C@@H](C)NC2=O)cc1,0.06,0.32,0.46
Cc1ccc2nc(-c3cccc(C#N)c3)oc2c1,0.81,0.39,1.0
CCCCCO[C@@H]1[C@H]2OC(C)(C)O[C@H]2O[C@@H]1[C@H](O)CONC1CC1,0.91,0.93,1.0
COc1ccc(-n2nc(-c3ccccc3)c3c2N(CC(=O)NCC(O)c2ccc(Cl)cc2)C(=O)CS[C@H]3c2ccccc2Cl)cc1,0.12,0.07,1.0
CN1CCN(CC(=O)Nc2ccc(Cl)cc2C(=O)c2ccccc2)CC1,0.98,0.26,1.0
Cc1ccc(-n2c(SCC(=O)Nc3cccc(Cl)c3Cl)nnc2-c2ccc(CN3CCNCC3)cc2)c(C)c1,0.68,0.1,1.0
CCOc1cc(C=Nn2c(-c3cc4c(OC)cccc4o3)nc3ccccc3c2=O)cc(Cl)c1OCCCN(C)C,0.45,0.21,1.0
CCOc1ccc(C=C2C(=O)NC(=O)N(c3ccc(OC)cc3)C2=O)cc1OC,0.88,0.17,1.0
CSc1ccc(S(=O)(=O)N(C)CC(=O)N(Cc2ccc(Cl)c(Cl)c2)[C@H](Cc2ccccc2)C(=O)NC2CCCC2)cc1,0.45,0.08,1.0
CN(C)CCOc1cc(Br)c(O)c(/C=N/c2ccc3oc(-c4ccc(F)cc4Cl)nc3c2)c1,0.55,0.46,0.99
COc1ccc(-n2cc(C=CC(=O)Oc3ccc4c5c(c(=O)oc4c3)CCC5)c(C)n2)cc1OC,0.63,0.16,1.0
CC[C@@H](C(=O)NC(C)C)N(Cc1ccccc1Cl)C(=O)CN(c1ccc(Cl)cc1)C1CCN(C)CC1,0.9,0.09,0.99
CN1CCN(CC(=O)N(Cc2ccc(Cl)c(Cl)c2)C(=O)CN(c2cccc(Cl)c2Cl)S(=O)(=O)c2ccccc2)CC1,0.93,0.07,1.0
COc1ccc(CCN(Cc2cccnc2)Cc2cc3cc4c(cc3[nH]c2=O)OCCO4)cc1OC,0.59,0.15,1.0
CCCc1nc2ccc(Br)cc2c(=O)n1/N=C/c1ccc(N(C)C)cc1OCC1CCCN(C)C1,0.93,0.54,1.0
CC(C)Oc1ccc(C(C(=O)O)=C2[CH]c3ccccc3N2C(=O)C(=O)OCc2cccc(F)c2)cc1,0.21,0.04,0.98
Cc1ccc(-c2ccc(/C=N\n3c(C(C)(C)C)nc4ccc(Br)cc4c3=O)o2)cc1,0.4,0.26,1.0
CCOc1ccc(N(CC(=O)N(Cc2ccc(F)cc2)[C@@H](CC)C(=O)NC(C)(C)C)S(=O)(=O)c2ccc(Cl)cc2)cc1,0.23,0.03,1.0
CCOc1ccc([C@@H]2C(=C(O)c3ccc4c(c3)C[C@H](C)O4)C(=O)C(=O)N2Cc2ccc(F)cc2)cc1OCC,0.24,0.07,1.0
CCn1c(SCC(=O)Nc2ccc(Cl)cc2)nnc1[C@@H](NC(=O)c1cccc(F)c1)C(C)C,0.57,0.1,1.0
O=C([O-])N(Cc1ccccc1)C(=O)CN(c1ccc(Oc2ccccc2)cc1)S(=O)(=O)c1ccccc1,0.54,0.03,1.0
COc1ccc(C(=O)COC(=O)c2cc(CN3CCN(C)CC3)nc3ccccc23)cc1OC,0.93,0.11,1.0
CC[C@@H](C(=O)NC(C)C)N(Cc1ccc(Cl)cc1)C(=O)CN(c1ccc(Cl)cc1)S(=O)(=O)c1ccc(F)cc1,0.53,0.04,1.0
CC1CCN(CC(=O)N(Cc2ccc(Cl)c(Cl)c2)C(=O)CN(c2cccc(Cl)c2Cl)S(=O)(=O)c2ccccc2)CC1,0.93,0.03,1.0
CNC(=O)[C@@H](Cc1ccccc1)N(C)C(=O)CN(c1cc(C)cc(C)c1)S(=O)(=O)c1ccccc1,0.61,0.07,1.0
COc1cc(-c2nc3sc(-c4ccc(OCc5ccc(Cl)c(Cl)c5)c(OC)c4)nc3s2)ccc1OCCN1CCN(C)CC1,0.53,0.26,0.99
CCN(Cc1nc2cc(Cl)ccc2o1)C(=O)c1ccc(-c2ccccc2)cc1,0.78,0.13,1.0
CCCN(Cc1nnc(-c2cccs2)o1)C(=O)c1ccc(C(F)(F)F)cc1,0.98,0.34,1.0
COc1ccc(C(=O)c2ccc(OCCN3CCNCC3)cc2)cc1,0.62,0.32,0.88
C=CCn1c(C)c(/C=c2\sc3n(c2=O)[C@@H](c2ccccc2)C(C(N)=O)=C(c2ccccc2)N=3)c2ccccc21,0.72,0.18,1.0
CCOc1ccc([C@@H](C(=O)NCCC(C)C)N(Cc2ccccc2)C(=O)CN2C(=O)CCC2=O)cc1OC,0.63,0.05,1.0
CC(C)N(CC(=O)Nc1ccc(OCc2ccccc2)cc1)S(C)(=O)=O,0.78,0.4,1.0
CCN(CC)C(=O)C1=C(C)N=c2s/c(=C\c3ccc(Br)cc3)c(=O)n2[C@H]1c1cc(OC)ccc1OC,0.49,0.2,1.0
Cc1ccc(C(=O)N(CC(=O)Nc2nc(C)cs2)Cc2ccccc2)cc1,0.88,0.16,1.0
CCOc1cc([C@@H]2NC(=O)NC(C)=C2C(=O)OC)ccc1OC[C@@H](O)NN=Cc1c(Cl)cccc1Cl,0.29,0.09,1.0
CC1CCN(C(=O)C2N=c3s/c(=C/c4cn(-c5ccccc5)nc4-c4ccc(Cl)cc4)c(=O)n3[C@H]2c2cccs2)CC1,0.69,0.09,1.0
CCCCNC(=O)[C@@H](CC)N(Cc1cccc(C)c1)C(=O)CN(c1ccc(C)cc1)S(C)(=O)=O,0.73,0.1,1.0
CC[C@H](C)c1nc2ccc(Br)cc2c(=O)n1N=Cc1cc(Cl)c(OC2CCN(C)CC2)c(Cl)c1,0.84,0.2,1.0
Cc1ccc(Oc2ccc(C(=O)NC[C@]3(N4CCOCC4)CCSC3)cc2)cc1,0.62,0.31,1.0
CCCCCCCCCCCCCCOC(=O)c1ccc(C=O)cc1,0.6,0.01,1.0
COC(=O)C[C@H](CN(C)C)c1c(O)c(O)c(O)c2c(=O)cc(-c3ccccc3)oc12,0.41,0.48,0.88
CCOc1cc(/C=C2\SC(=N)N(Cc3ccc(F)cc3)C2=O)cc(I)c1OCC(=O)Nc1ccc(C)cc1,0.53,0.25,1.0
Cc1oc(-c2cccc(Cl)c2)nc1COc1ccccc1-c1ccco1,0.57,0.07,1.0
Cc1c(CC(=O)N[C@H](Cc2c[nH]c3ccccc23)C(=O)NCCCN)c(=O)oc2c(C)c3occ(C(C)(C)C)c3cc12,0.42,0.22,0.99
COc1cccc(CN(C(=O)CCc2ccc(S(=O)(=O)N3CCCC3)cc2)[C@H](Cc2ccccc2)C(=O)NC2CCN(C)CC2)c1,0.35,0.16,1.0
CCCN(Cc1nnc(-c2cccs2)o1)C(=O)c1cccc(Cl)c1,0.96,0.18,1.0
CN1CCC(NC(=O)[C@H](Cc2ccccc2)NC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@H](N)Cc2c[nH]c3ccccc23)C1,0.11,0.13,0.95
Cn1c(SCC(=O)Nc2cc([N+](=O)[O-])ccc2Cl)nnc1C1CCN(CC(F)(F)F)CC1,0.89,0.6,1.0
COc1ccc([N+](=O)[O-])c(C=C(C(=O)O)[N+](=O)[O-])c1,0.83,0.66,0.99
COc1ccc(C(=O)c2ccc(N=[N+]([O-])c3ccccc3)cc2)cc1,0.33,0.27,1.0
COc1cc(C=Cc2nc3cc(C)c(C)cc3s2)ccc1OCCN1CCN(C)CC1,0.91,0.54,0.99
CCOC(=O)C1=C(C)N=c2s/c(=C/c3ccccc3)c(=O)n2[C@@H]1c1cc(OC)c(OCC)cc1Br,0.52,0.07,1.0
O=C(CSc1cn[nH]n1)Nc1ccc(C(=O)NC2CCN(CCO)CC2)cc1,0.29,0.06,0.87
Cc1ccc(-c2ccc(C=CC(=O)N3CCN(c4ccc(F)cc4)CC3)o2)c(Cl)c1,0.8,0.12,1.0
CN(CC(=O)Nc1ccc(OCc2ccccc2)cc1)S(=O)(=O)c1ccccc1,0.48,0.2,1.0
CCCCc1nc2cc(Br)ccc2c(=O)n1N=Cc1cc(Cl)c(OCC(=O)NC2CCN(C)CC2)c(OCC)c1,0.67,0.21,1.0
COc1cc(C)c(-c2nc3ccccc3c(=O)n2N=Cc2ccc(CN3CCN(C)CC3)c(I)c2)cc1C(C)C,0.84,0.32,1.0
COc1cccc(/C=C2\SC(=S)N(CCCC(=O)Nc3ccc(F)cc3Cl)C2=O)c1,0.78,0.43,1.0
Cc1cccc(C(C)C)c1NC(=O)C(=O)[C@@H](C(=O)C=Cc1ccc(F)cc1)[C@H]1OC(=O)c2ccccc21,0.54,0.18,1.0
CCCCNC(=O)[C@@H](Cc1ccccc1)N(Cc1ccccc1)C(=O)CNc1ccccc1,0.81,0.14,1.0
COc1ccc(Cl)cc1NC(=O)c1ccc(CSc2ccc(C)cc2)cc1,0.54,0.42,1.0
CN(Cc1ccccc1)C(=O)CN(c1cc(Cl)cc(Cl)c1)S(=O)(=O)c1ccccc1,0.83,0.05,1.0
CN1CCN(CCOc2cccc(C=Nn3c(C(C)(C)C)nc4ccc(Br)cc4c3=O)c2)CC1,0.86,0.52,1.0
Cc1cccn2c(=O)c(C=C3SC(=S)N(Cc4ccco4)C3=O)c(NC3CCN(C)CC3)nc12,0.78,0.31,1.0
CC[C@H](C(=O)NC1CCCCC1)N(Cc1cccc(OC)c1)C(=O)CN(CC1CCCO1)c1ccc(Cl)cc1C,0.74,0.28,1.0
CCN(CC)C1=C(C(F)(F)F)N=c2s/c(=C\c3cc(Br)cc(I)c3OCc3ccccc3)c(=O)n2[C@@H]1c1ccc(Cl)cc1,0.64,0.18,1.0
CCOC(=O)C1=C(C)N=c2s/c(=C\c3ccc(-c4ccc(F)cc4OC)o3)c(=O)n2[C@H]1c1ccc(N(C)C)cc1,0.58,0.12,1.0
NC(N)(CO)COCCOc1ccccc1,0.52,0.08,0.96
CCOc1cc(C2C3=C(CCCC3=O)N(Cc3ccccc3)C3=C2C(=O)CCC3)cc(Br)c1OC1CCN(C)C1,0.68,0.07,1.0
CCCc1noc(CSc2nnc(-c3ccccc3)n2-c2ccc(C)cc2)n1,0.83,0.09,1.0
CCN(Cc1ccc(Cl)cc1)C(=O)CN(c1ccc(Cl)cc1)S(=O)(=O)c1ccc(OC)c(OC)c1,0.68,0.03,1.0
CC[C@@H](C)NC(=O)[C@@H](Cc1ccccc1)N(Cc1ccccc1)C(=O)CN(c1cc([N+](=O)[O-])ccc1OC)S(=O)(=O)c1ccccc1,0.21,0.18,1.0
CC[C@@H](C(=O)NC)N(Cc1c(Cl)cccc1Cl)C(=O)CN(c1ccc(Cl)c(Cl)c1)S(=O)(=O)c1ccc(F)cc1,0.68,0.06,1.0
CN1CCN(Cc2ccc(Nc3nc4ccccc4nc3NS(=O)(=O)c3cccc([N+](=O)[O-])c3)cc2F)CC1,0.82,0.36,1.0
CC[C@H](C)NC(=O)[C@@H](Cc1ccccc1)N(Cc1ccc(Br)cc1)C(=O)CN(c1cc(C)ccc1OC)S(C)(=O)=O,0.47,0.12,1.0
CCOC(=O)C1=C(N)N(c2ccc(F)cc2)C2=C(C(=O)[C@@H](C(=O)OCc3cccc(Br)c3)[C@H](c3cccs3)C2)[C@@H]1c1cccc(F)c1,0.7,0.1,1.0
CCOc1cc([C@@H]2NC(=O)NC(C)=C2C(=O)OC)ccc1OC[C@@H](O)NN=Cc1ccc(N(C)C)cc1,0.23,0.18,0.99
Cc1ccc(C(=O)N/C(=C\c2ccc(-c3cccc(F)c3)o2)C(=O)N[C@@H]2CCCS2(=O)=O)cc1,0.51,0.46,0.99
COc1ncnc2c1nc(NCCCCCNc1nc3c(N)ncnc3n1[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O)n2C,0.28,0.64,0.9
COc1ccc(-c2c(C)oc3cc(OCCCN(C)C)ccc3c(=O)c2=O)cc1OC,0.67,0.4,0.94
CC[C@H](C)NC(=O)[C@H](Cc1ccccc1)N(Cc1ccccc1)C(=O)CN(C)C1CC1,0.9,0.31,1.0
CCc1cccc(S(=O)(=O)Oc2cccc(CN(C(=O)c3ccccc3F)C(C)C)c2)c1,0.64,0.19,1.0
CC(=NNC(=S)Nc1ccc(Cl)cc1)c1ccc(OC(F)F)cc1OC(F)F,0.79,0.31,1.0
CCCCNC(=O)[C@@H](Cc1ccccc1)N(Cc1ccc(Cl)c(Cl)c1)C(=O)CN(C)c1cccc(Br)c1,0.79,0.13,1.0
CN(Cc1ccc(Cl)o1)S(=O)(=O)c1ccc(Cl)cc1,0.71,0.01,1.0
O=C(Oc1ccc2c(=O)c(-c3ccccc3Cl)coc2c1)N1CCC(N2CCC2)CC1,0.92,0.39,0.99
N#Cc1ccccc1COc1ccc(C=C2CN(Cc3ccccc3)C(=O)c3ccccc32)cc1,0.4,0.27,1.0
CCOC(=O)C1=C(C)N=c2s/c(=C\c3ccc(C)cc3)c(=O)n2[C@H]1c1ccc(OC)cc1,0.42,0.06,1.0
COC(=O)c1ccc(OC(=O)c2ccc(N3C(=O)c4ccccc4C3=O)cc2)cc1,0.8,0.23,0.98
COc1ccc(-c2ccc(C(=O)NC3CCN(C)CC3)o2)c([N+](=O)[O-])c1,0.95,0.72,1.0
COC(=O)CC1=NN(c2ccc(F)cc2)C(=O)C1=C(NCc1ccc(OC)cc1)c1ccccc1Cl,0.26,0.08,1.0
CCOc1ccc(N2C(=O)[C@@H]3C[C@H](C2=O)N(c2cccc([N+](=O)[O-])c2)O3)cc1,0.91,0.93,1.0
CCOc1ccc(C=C2SC(=S)N(NC(=O)c3ccc(OC)cc3)C2=O)cc1OCCN1CCN(C)CC1,0.41,0.35,0.9
COC(=O)C[C@H](N[C@H]1c2ccccc2C(=O)N1Cc1ccccc1)c1ccc(OCc2ccccc2)cc1,0.34,0.31,1.0
CCc1ccccc1Nc1nc(N)nc(C[N+]2(Cc3ccccc3C)CCCC2)n1,0.83,0.11,0.72
CN(C)CCN(C)C(=O)N(c1ccc(N(C(=O)Oc2ccccc2)S(=O)(=O)c2ccc(Cl)cc2)c2ccccc12)S(=O)(=O)c1ccc(Cl)cc1,0.57,0.03,0.99
CCOC(=O)C1=C(C)N=c2s/c(=C\c3ccc(O)c(OC)c3)c(=O)n2[C@@H]1c1ccc(OC)c(OC)c1,0.35,0.11,1.0
CCCCc1nc2ccc(Br)cc2c(=O)n1N=Cc1cc(Cl)ccc1OC1CCN(C)CC1,0.89,0.26,1.0
CNC(=O)[C@@H](C)N(Cc1ccc(C)cc1)C(=O)CN(c1ccc(Br)cc1)S(=O)(=O)c1ccc(C)cc1,0.57,0.05,1.0
COc1cc([C@@H]2SCC(=O)N2c2ccc(Cl)cc2)cc(I)c1OCc1cccc(Br)c1,0.82,0.11,1.0
CC(C)CNC(=O)[C@@H](Cc1ccccc1)N(Cc1ccccc1)C(=O)CN(c1ccc(Oc2ccccc2)cc1)C1CCNC1,0.44,0.2,1.0
CNC(=O)[C@@H](Cc1ccccc1)N(Cc1ccc(C)cc1)C(=O)CN(CC1CC1)c1ccc(Br)cc1,0.9,0.15,1.0
CC(C)c1ccc(S(=O)(=O)c2ccc(NC(=O)CSc3ccccn3)cc2)cc1,0.62,0.02,1.0
CCOc1ccc(-n2c(SCC(=O)NCC3CCCO3)nnc2-c2cccs2)cc1,0.59,0.15,1.0
CCOC(=O)C1=C(C(F)(F)F)N=c2s/c(=C\c3cc(Br)cc(I)c3OCc3ccccc3)c(=O)n2[C@@H]1C1CCN(C)CC1,0.86,0.19,1.0
CC[C@H](C)c1nc2ccc(Br)cc2c(=O)n1N=Cc1cc(Cl)c(OCCCN(C)C)c(Cl)c1,0.74,0.32,1.0
CCN(CC)CCCOC(=O)c1cc(S(=O)(=O)N2CCN(c3ccccc3)CC2)ccc1Cl,0.89,0.06,0.99
CC(C)(C)c1cc(/C=N/[C@H]2[CH]CCCC2)c(O)c([N+](=O)[O-])c1,0.63,0.22,1.0
COc1ccc2cc(S(=O)(=O)N[C@H](CC(=O)N[C@H](Cc3ccc(C4CCN(C)CC4)cc3)C(=O)N(C)C(C)C)c3ccc4c(c3)OCO4)ccc2c1,0.47,0.16,1.0
COc1ccc(CCN(Cc2ccncc2)Cc2cc3cc4c(cc3[nH]c2=O)OCCO4)cc1OC,0.58,0.14,1.0
CCc1ccc(N2C(=O)/C(=C/c3cc(Br)c(OC)c(OC)c3)C(=O)NC2=S)cc1,0.71,0.46,1.0
Clc1ccc2c(N=Cc3ccccc3)ccnc2c1,0.96,0.62,1.0
CCOc1ccc(N(CC(=O)N(C)C2CCCCC2)S(=O)(=O)c2ccc(OC)c(OC)c2)cc1,0.81,0.1,1.0
O=C(N[C@@H](Cc1ccccc1)C(=O)NCCCCCCCCCCNC(=O)N(Cc1ccccc1)C1CCN(Cc2ccccc2)CC1)OCc1ccccc1,0.77,0.23,1.0
CCc1ccccc1NC(=O)CN1C(=O)N/C(=C/c2ccc(Br)cc2)C1=O,0.95,0.28,1.0
CCOC(=O)C1=C(NC(=O)c2ccc(C)cc2)S/C(=C\c2ccccc2)C1=O,0.33,0.15,1.0
CCOc1cc(C=C2SC(=Nc3ccc(CC)cc3)NC2=O)cc(I)c1OCCCN(C)C,0.76,0.31,0.99
C#C[C@]1(O)CC[C@@H]2[C@@H]3CCC4=C/C(=N/OCC(=O)NC5CCCC5)CC[C@]4(C)[C@@H]3CC[C@@]21C,0.12,0.1,1.0
CN1CCC(N2CCN(C(=O)Oc3ccc(/C=N/c4cc(-c5ccccc5)nn4-c4ccccc4)cc3)CC2)CC1,0.84,0.11,0.98
COc1ccccc1N1C(=S)N[C@H](c2ccccn2)[C@@H]1c1cc(C)n(-c2ccccc2F)c1C,0.53,0.21,1.0
CC[C@H](C)OC(=O)C1=C(C)NC2=C(C(=O)C[C@H](c3ccccc3F)C2)[C@@H]1c1cccc([N+](=O)[O-])c1,0.41,0.23,1.0
COc1ccc(OCC(=O)c2cc(C)c(C)cc2C)c(C=Cc2ccc(F)cc2)c1,0.6,0.18,1.0
CN(C)C1[C@H]2C=C[C@]2(O)C(C(=O)O)=CO[C@@H](O)[C@H]2[C@H]1C=C[C@]2(O)CO,0.49,0.03,0.45
Cc1[nH]cnc1CSCCN(C)C=C1C(=O)N(c2ccc([N+](=O)[O-])cc2)N=C1c1ccccc1,0.54,0.38,1.0
COc1ccccc1[C@H]1c2c(C)nn(-c3ccccc3)c2Oc2ncn3nc(-c4ccccc4)nc3c21,0.27,0.11,1.0
CN(C(=O)CSCc1cccc(Cl)c1)C(=O)[C@H](Cc1ccccc1)N1CCCC1,0.96,0.08,1.0
COc1cc([C@H](CCN(C)C)Sc2nnc(C)n2-c2ccccc2)ccc1OCc1ccc(Cl)cc1,0.53,0.05,1.0
CCN(CC)C(=O)C1=C(C)N=c2s/c(=C/c3ccccc3OCc3cccc4ccccc34)c(=O)n2[C@H]1c1ccccc1,0.41,0.23,1.0
CN(C)C(=O)C(=O)[C@@H](C(=O)/C=C/c1ccccc1)[C@H]1OC(=O)c2ccccc21,0.61,0.39,0.99
CCOc1cc(C=Nn2c(-c3cc4ccccc4o3)nc3ccccc3c2=O)cc(F)c1O[C@@H](C)CC,0.5,0.35,1.0
COc1cc2occ(-c3ccc(OC4CCN(CCO)CC4)c(O)c3)c(=O)c2c(OC)c1O,0.3,0.26,0.93
CN1CCN(C(=O)CSc2nc(-c3cccs3)cc(-c3ccc(Cl)cc3)c2C#N)CC1,0.85,0.35,1.0
CN1CCN(C2=CC=C(c3nc4ccc(-c5ccc6nc(-c7ccc(-c8ccccc8)cc7)c(-c7ccccc7)nc6c5)cc4nc3-c3ccccc3)CC2)CC1,0.44,0.29,0.99
CN1CCN(C(=O)/C(=C/c2c[nH]c3ccccc23)NC(=O)c2ccccc2)CC1,0.82,0.17,0.96
CN1CCN(Cc2nc(-c3nc(-c4ccccc4)oc3Sc3ccc(Cl)cc3)cs2)CC1,0.9,0.13,1.0
COc1ccc2cc(C(=O)Nc3nc(-c4ccc5c(c4)CCCC5)cs3)c(=NCCN(C)C)oc2c1,0.68,0.81,1.0
Cc1cc(N2C(=S)N[C@H](c3ccccn3)[C@H]2c2ccc(-c3ccc(C(=O)O)cc3)o2)ccc1N1CCN(C)CC1,0.11,0.2,0.76
CN1C2CCC1CN(c1cccc(Sc3cccc(NC(=O)/C(=C/c4ccccc4F)NC(=O)c4ccccc4)c3)c1)C2,0.74,0.28,0.98
O=[N+]([O-])c1cccc(S(=O)(=O)Nc2nc3ccccc3nc2Nc2cccc(C3CCN(CC4CC4)CC3)c2)c1,0.92,0.27,1.0
Cc1ccc([N+](=O)[O-])cc1N(CC(=O)N(Cc1ccccc1)Cc1ccncc1)S(C)(=O)=O,0.73,0.27,1.0
COCC(=O)Nc1ccc(N2CC3CCC([CH]C2c2ccc(-c4cccc(C(=O)O)c4)o2)N3C)cc1,0.18,0.47,0.69
CN1CCN(c2nc(-c3ccccc3)oc2Sc2ccc(Cl)cc2)CC1,0.98,0.06,1.0
COC(=O)C[C@@H](c1c(O)c(O)c(O)c2c(=O)cc(-c3ccccc3)oc12)N(CCN(C)C)c1ccc(OC)cc1OC,0.35,0.35,0.93
CCCCNC(=O)[C@@H](C)N(Cc1ccc(Cl)c(Cl)c1)C(=O)CN(c1cccc(Br)c1)S(=O)(=O)c1ccc(F)cc1,0.64,0.04,1.0
CN1CCN(CCSc2nc(-c3cccs3)cc(-c3ccc(Cl)cc3)c2C#N)CC1,0.93,0.51,1.0
