smiles,bbbp,mutagenicity,hia,plogp,qed,drd2,sas
COc1ccccc1N1C(=S)N[C@@H](c2ccccn2)[C@@H]1c1c(C)c(C)n(-c2ccccc2)c1C,0.65,0.15,1.0,2.05,0.36,0.01,3.54
CC(C)c1nc(Cc2ccc(NC(=O)COc3ccc(Br)cc3)cc2)no1,0.81,0.2,1.0,2.77,0.59,0.0,2.11
COc1ccccc1[C@H]1c2c(C)nn(-c3ccccc3)c2Oc2ncn3nc(N4CCN(C)CC4)nc3c21,0.64,0.23,1.0,0.65,0.36,0.02,3.36
COC(=O)[C@@H](C)Oc1c(C=Nn2c(-c3cc4ccccc4o3)nc3ccccc3c2=O)cc(Cl)cc1N1CCN(C)CC1,0.69,0.17,1.0,1.52,0.19,0.03,3.43
CNC(=O)[C@@H](Cc1ccccc1)N(Cc1cccc(Cl)c1)C(=O)CN(c1cc(C)cc(C)c1)S(C)(=O)=O,0.65,0.07,1.0,1.37,0.42,0.0,3.01
CCOc1ccc(-n2c(CN(C)C)nnc2SCC(=O)Nc2ccc(C)cc2Br)cc1,0.61,0.17,0.98,2.53,0.43,0.0,2.29
CC[C@H](C)c1nc2ccc(Br)cc2c(=O)n1N=Cc1cc(Br)cc(Br)c1,0.88,0.15,1.0,2.55,0.38,0.02,3.17
COc1ccc(C2=NN(C(C)=O)[C@H](c3cc(Br)ccc3OC(C)=O)O2)cc1CSc1ccccc1,0.27,0.26,1.0,2.45,0.2,0.0,3.16
COC(=O)C1=C(C)N=c2sc(=Cc3cccc(F)c3)c(=O)n2[C@H]1c1ccc(Cl)cc1,0.87,0.03,1.0,0.97,0.59,0.0,2.82
CCOC(=O)C1=C(C)N=c2sc(=Cc3ccc(F)cc3)c(=O)n2[C@H]1c1ccc(OC)c(Br)c1,0.7,0.09,1.0,1.2,0.47,0.0,2.92
O=C(CSc1cc(SCC(=O)c2ccc([N+](=O)[O-])cc2)ccc1Cl)NC1CC1,0.79,0.53,1.0,2.56,0.27,0.0,2.3
Cc1ccc([N+](=O)[O-])cc1N(CC(=O)N(Cc1ccccc1)Cc1ccncc1)S(C)(=O)=O,0.73,0.27,1.0,1.54,0.35,0.0,2.4
CC(C)c1c(F)cccc1NC(=O)C(=O)[C@@H](C(=O)/C=C/c1ccccc1)[C@H]1OC(=O)c2ccccc21,0.52,0.23,1.0,1.56,0.2,0.0,3.53
COc1cc(-c2nc3sc(-c4ccc(OCc5ccc(Cl)c(Cl)c5)c(OC)c4)nc3s2)ccc1OCCCN1CCOCC1,0.37,0.31,0.99,4.38,0.12,0.04,2.82
COc1ccc(S(=O)(=O)N(CC(=O)N(Cc2ccccc2Cl)C(C)C)c2ccccc2)cc1,0.6,0.04,1.0,2.94,0.43,0.0,2.21
COc1ccc(C)cc1S(=O)(=O)Oc1c(I)cc(Br)cc1C=Nc1cccc(C)c1C,0.62,0.06,1.0,3.32,0.18,0.01,2.78
CCCCNC(=O)[C@H](C)N(Cc1ccc(C)cc1)C(=O)CN(c1cc(OC)ccc1OC)S(C)(=O)=O,0.48,0.14,1.0,0.76,0.41,0.0,2.94
COc1cccc(CN(C(=O)CN(C)S(C)(=O)=O)C(=O)NCC(C)C)c1,0.93,0.1,1.0,0.01,0.73,0.0,2.5
COc1cc([C@H](C[N+](=O)[O-])Sc2nnc(C)n2C2CC2)ccc1OCc1ccc(Cl)cc1,0.76,0.33,1.0,2.14,0.22,0.0,3.05
COc1ccc(Br)cc1[C@@H]1C(C(=O)OC(C)C)=C(C)N=c2sc(=Cc3cccc(Cl)c3)c(=O)n21,0.44,0.05,1.0,1.67,0.43,0.01,3.06
CC(C)CNC(=O)[C@H](Cc1ccccc1)N(Cc1ccc(F)cc1)C(=O)COc1ccc2c(c1)CCC2,0.75,0.44,1.0,2.27,0.4,0.01,2.84
CC(C)NC(=O)[C@H](Cc1ccccc1)N(Cc1ccc(Cl)cc1Cl)C(=O)CN(C)C(=O)c1ccccc1,0.52,0.09,1.0,2.35,0.38,0.0,2.85
Cc1ccc(S(=O)(=O)N(CCC(=O)N(C)Cc2ccc(Cl)c(Cl)c2)c2cc(Cl)ccc2C)cc1,0.77,0.03,1.0,3.82,0.33,0.02,2.37
CC[C@H](C)c1nc2ccc(Br)cc2c(=O)n1N=Cc1ccc(Br)cc1,0.88,0.27,1.0,2.3,0.49,0.0,2.94
CCCCN(CCCC)CCCN1C(=O)C(O)=C(C(=O)c2ccc(OC)cc2)[C@H]1c1ccc(F)cc1F,0.73,0.27,0.99,2.63,0.32,0.38,2.97
CN1CCN(CC(=O)CN(Cc2ccc(Cl)cc2Cl)S(=O)(=O)c2ccccc2)CC1,0.94,0.08,1.0,1.38,0.59,0.15,2.36
COc1ccc(N2C(=S)N[C@H](c3ccccn3)[C@H]2c2ccc(C(C)C)o2)cc1Cl,0.45,0.23,1.0,1.75,0.53,0.0,3.59
C=CCOc1cccc([C@H]2C(=C(Br)c3ccc4c(c3)C[C@H](C)O4)C(=O)C(=O)N2Cc2ccco2)c1,0.49,0.14,1.0,1.75,0.22,0.0,3.58
CNC(=O)[C@@H](Cc1ccccc1)N(Cc1ccccc1)C(=O)CN(c1cccc(Cl)c1Cl)S(=O)(=O)c1ccccc1,0.49,0.1,1.0,2.43,0.24,0.01,2.98
Cc1ccc(S(=O)(=O)N(CC(=O)N(CCCN2CCN(C)CC2)Cc2ccc(Cl)c(Cl)c2)c2cc(Cl)ccc2C)cc1,0.86,0.11,1.0,3.25,0.25,0.35,2.62
CN1CCN(C(=O)Oc2ccc(-c3cc(F)c(C(=O)O)c(F)c3)cc2)CC1,0.49,0.63,0.76,1.6,0.89,0.03,2.22
C=CCOc1cccc([C@H]2C(=C(O)c3ccc(F)cc3)C(=O)C(=O)N2Cc2ccco2)c1,0.41,0.1,1.0,1.96,0.25,0.0,2.81
COc1ccc(C=C(Br)C(=O)O)c([N+](=O)[O-])c1,0.88,0.91,1.0,0.71,0.52,0.0,2.59
CS(=O)(=O)N(Cc1ccc(C(=O)Nc2cccnc2)cc1)c1cccc(Cl)c1,0.76,0.07,1.0,2.42,0.66,0.0,2.05
CC(C)CCOc1cccc([C@H]2C(=C(CN)c3ccc4c(c3)C[C@H](C)O4)C(=O)C(=O)N2Cc2ccncc2)c1,0.39,0.13,1.0,1.23,0.32,0.01,3.58
Cc1cc2nc3c(=O)[nH]c(=O)nc-3n(C[C@H](O)[C@H](O)c3ccccc3)c2cc1C,0.2,0.16,0.97,-1.06,0.45,0.0,3.4
CC[C@H](C)NC(=O)[C@H](Cc1ccccc1)N(Cc1ccc(Cl)c(Cl)c1)C(=O)CN(C)c1ccccc1,0.67,0.07,1.0,2.55,0.33,0.03,3.11
CCOc1ccc(N(CCc2ccc(F)cc2)CC(=O)N(Cc2ccccc2)[C@@H](CC)C(=O)NCC(C)C)cc1,0.39,0.14,1.0,2.63,0.26,0.02,2.98
C#CCOc1c(/C=N\N[C@H](O)COc2ccc([C@H]3NC(=O)NC(C)=C3C(=O)OC)cc2OCCN(C)C)cc(I)cc1OC,0.21,0.29,0.97,-1.19,0.05,0.02,4.14
CCOc1ccc([C@H]2C(C(=O)OC)=CN=c3s/c(=C\c4cc(OC)c(OCc5ccc(F)cc5)cc4Br)c(=O)n32)cc1OCC,0.52,0.13,1.0,1.6,0.2,0.02,3.52
CC1=NN(c2ccccc2)C(=O)/C1=C/c1cn(-c2ccccc2)nc1-c1ccc(C)cc1,0.77,0.18,1.0,3.34,0.4,0.01,2.27
COc1ccc(C2=NN(c3nc(-c4ccccc4)cs3)[C@H](c3ccco3)C2)cc1,0.33,0.48,1.0,2.8,0.43,0.0,2.79
CCCN(CCC)CCOc1cccc(C=C2SC(=S)N(c3ccc(C)cc3)C2=O)c1,0.91,0.53,0.99,3.37,0.33,0.06,2.39
COc1ccc([C@@H](C(=O)NC2CCCCC2)N(Cc2ccccc2Cl)C(=O)Cc2c[nH]c3ccccc23)cc1OC,0.58,0.08,1.0,3.19,0.22,0.05,2.94
CCCC1=C(C(=O)OCC)[C@H](c2ccc(C(C)C)cc2)n2c(sc(=Cc3ccc(F)c(F)c3)c2=O)=N1,0.72,0.04,1.0,1.82,0.42,0.02,3.14
COC(=O)C[C@H](c1ccc(OC)c(CO)c1)c1c(O)c(C(C)=O)cc([C@@H]2CCCN(C)C2)c1O,0.29,0.12,0.97,0.09,0.4,0.1,3.61
CCOc1cc(C=Nc2sc3c(c2C(=O)NCc2ccco2)CC[C@@H](C(C)(C)C)C3)ccc1OC,0.71,0.31,1.0,2.91,0.36,0.01,3.16
CS(=O)(=O)N(Cc1ccc(F)cc1)c1ccc(C(=O)Nc2ccccc2C(=O)NC2CCN(CCO)CC2)cc1,0.4,0.1,0.95,1.5,0.35,0.05,2.39
NC(N)(CO)COCOc1ccccc1,0.61,0.07,0.97,-1.25,0.44,0.0,2.61
CCOc1ccc(N2CCN(CC(=O)N(Cc3ccc(Cl)cc3Cl)C(=O)[C@@H](C)N)CC2)cc1,0.91,0.14,1.0,1.02,0.61,0.35,2.9
COc1ccc(N=C(N)c2ccc(F)cc2)cc1,0.84,0.48,1.0,1.91,0.67,0.0,1.84
CC(C)(C)c1nc2ccc(Br)cc2c(=O)n1N=Cc1cccc(OCCN2CCN(c3cccc(Cl)c3)CC2)c1,0.66,0.27,1.0,3.14,0.23,0.21,2.75
COc1cc([C@@H]2SCC(=O)N2c2ccc(Cl)cc2)cc(I)c1OC1CCN(C)CC1,0.95,0.11,0.99,2.06,0.47,0.79,3.08
CCn1c(SCC(=O)Nc2ccc(Cl)cc2)nnc1[C@@H](NC(=O)c1cccc(Cl)c1)C(C)C,0.63,0.07,1.0,2.68,0.38,0.0,2.71
CCCc1nc2s/c(=C/c3cc(Cl)c(OCc4cccc(C(=O)O)c4)c(OC)c3)c(=O)n2c1C(=O)NC1CCN(C)CC1,0.2,0.32,0.9,1.29,0.27,0.11,3.02
CN1CCN(CCOc2ccc(OC(=O)c3c(F)cccc3F)cc2)CC1,0.95,0.41,0.99,1.61,0.57,0.44,2.06
CN(C)CCN(C)C1C(=O)N(N(CC(=O)c2ccc(OC(=O)c3ccc(Cl)cc3Cl)cc2)C(=O)c2ccccc2Cl)C(=O)[C@H]2CC[C@H]12,0.85,0.22,0.99,0.99,0.11,0.04,4.06
CCCCNC(=O)[C@@H](C)N(Cc1ccccc1C)C(=O)CN(c1ccccc1)S(=O)(=O)c1ccc(C)cc1,0.6,0.04,1.0,2.05,0.34,0.0,2.87
CC(C)[C@@H](CO)Nc1nc(NC2CCN(C)CC2)cc(-c2cccc(OC(F)(F)F)c2)n1,0.83,0.21,1.0,1.12,0.56,0.16,3.15
CSCCCN(C)C(=S)Nc1cccc(C(=O)c2ccc(C(C)(C)C)cc2)c1,0.8,0.03,1.0,3.22,0.36,0.0,2.33
COc1cccc(/C=C2\SC(=S)N(CCCC(=O)Nc3ccc(Cl)cc3F)C2=O)c1,0.8,0.4,1.0,2.98,0.46,0.0,2.25
CCOc1cc([C@H]2C(C(=O)NC3CC3)=C(C)Nc3ncnn32)ccc1OCc1ccc(Cl)cc1Cl,0.63,0.14,1.0,1.78,0.43,0.02,3.27
CCOc1ccc(N(CCCN(C)C)CC(=O)N(Cc2ccc(F)cc2)[C@@H](CC)C(=O)NC(C)(C)C)cc1,0.65,0.17,0.94,1.7,0.39,0.02,3.09
COC(=O)Cc1nn(-c2ccccc2)c(O)c1C(CCN1CCN(C)CC1)c1ccc(C(F)(F)F)cc1,0.9,0.07,1.0,1.13,0.46,0.45,3.2
Cc1cc(-c2ccc(F)cc2)c(SCC(=O)Nc2sc3c(c2C#N)CCC3)nc1N1CCN(C)CC1,0.87,0.45,1.0,2.39,0.46,0.24,2.73
COc1cc(C(=O)N[C@H](C)c2nc3ccccc3n2Cc2ccc(Cl)cc2)cc(OC)c1OC,0.35,0.1,1.0,2.67,0.37,0.02,2.6
CN1CCN(c2ccc(C3=C4N=NC5=C(O)C(=C4C=CC(S(=O)(=O)O)=C3)C=C(S(=O)(=O)O)C=C5)cc2)CC1,0.27,0.45,0.62,-14.75,0.47,0.02,4.36
O=C(Oc1ccc2c(=O)c(-c3ccccc3Cl)coc2c1)c1cccc(F)c1,0.62,0.09,1.0,3.35,0.34,0.0,2.15
CN1CCN(Cc2ccc(NC(=O)c3ccc(-c4ccccc4[N+](=O)[O-])o3)c(Br)c2)CC1,0.91,0.66,0.99,2.56,0.39,0.02,2.32
N#Cc1cc(NC(=O)c2cc([N+](=O)[O-])ccc2N2CCC(Cc3ccccc3)CC2)ccc1F,0.72,0.81,1.0,3.03,0.4,0.0,2.33
Cc1cccn2c(=O)c(/C=C3\SC(=S)N(Cc4ccco4)C3=O)c(N3CCN(C)CC3)nc12,0.85,0.41,1.0,0.74,0.42,0.03,2.75
CCCCc1nc2ccc(Br)cc2c(=O)n1/N=C/c1cccc([N+](=O)[O-])c1OCC1CCN(C)CC1,0.93,0.68,1.0,2.15,0.21,0.11,2.89
Cc1ccc(-n2nc(C(=O)OCC(=O)N3CCC(N4CCOCC4)CC3)nc2-c2ccc(Br)cc2)cc1Cl,0.85,0.14,1.0,1.8,0.39,0.13,2.67
COc1c(Br)cc(C=c2sc3nc4ccccc4n3c2=O)cc1OCc1ccc(Cl)c(Cl)c1,0.6,0.18,1.0,3.36,0.26,0.01,2.52
CN(C)CCOc1c(Br)cc(Br)c(O)c1/C=N/c1ccc2oc(-c3ccc(F)cc3Cl)nc2c1,0.61,0.38,0.99,3.53,0.22,0.13,3.02
C#CCOc1ccc(/C=c2\sc3n(c2=O)[C@H](c2ccc(C(F)(F)F)cc2)C(C(=O)OCC)=C(C)N=3)cc1Br,0.78,0.19,1.0,1.39,0.3,0.01,3.28
COc1cc([N+](=O)[O-])ccc1-c1ccc(C=Nc2sc3c(c2C(=O)NCc2ccco2)CCN(CC(F)(F)F)C3)o1,0.56,0.84,1.0,2.65,0.14,0.02,3.12
CN1CCN(CCCNC(=O)c2cccc(COc3c(C=Nn4c(-c5cc6cc(Br)ccc6o5)nc5ccccc5c4=O)cc(Br)cc3[N+](=O)[O-])c2)CC1,0.69,0.66,1.0,3.12,0.06,0.04,3.28
CN1CCN(C(=Cc2c[nH]c3ccccc23)NC(=O)c2ccccc2)CC1,0.91,0.16,0.99,1.39,0.75,0.1,2.43
CCCCCCCCCCCCCCCCOC(=O)c1ccc(CN2CCN(c3ccccc3)CC2)cc1,0.91,0.02,1.0,5.55,0.14,0.03,2.17
CCN1CCc2cccc(NC(=O)CSc3nnc([C@H](CC(C)C)NC(=O)c4ccc(Cl)cc4Cl)n3C)c2CC1,0.69,0.44,0.99,-1.12,0.29,0.23,3.15
COc1cc(OC)c(OC)cc1/C=C/c1nc2ccc(CN3CCNCC3)cc2c(=O)n1-c1cc(C)cc(C)c1,0.43,0.21,0.99,2.04,0.35,0.03,2.74
CCCCCOC(=O)c1c(C)oc2c1cc(NC(C)=O)c1ccccc12,0.93,0.34,1.0,3.02,0.49,0.0,2.27
COc1ccc(-c2nn(-c3ccccc3)cc2/C=C/C(=O)OCCN2CCN(C)CC2)cc1OC,0.87,0.21,0.99,1.58,0.35,0.09,2.4
Cc1nn(-c2ccc(S(=O)(=O)O)cc2)c(O)c1N=Nc1ccc(Cl)cc1,0.3,0.17,0.99,1.95,0.51,0.0,2.58
CN(C)Cc1ccc(C=CC(=O)c2ccc(-c3ccccc3Cl)o2)cc1,0.74,0.19,0.99,3.39,0.42,0.01,2.17
COc1cc([C@H](Sc2nnc(C)n2-c2ccccc2)C(N)=O)ccc1OCc1ccc(Cl)cc1,0.58,0.08,1.0,2.38,0.32,0.0,2.77
CC[C@@H](C(=O)NC)N(Cc1ccc(Cl)cc1)C(=O)CN(c1ccc(OC)c(Cl)c1)S(C)(=O)=O,0.63,0.14,1.0,0.86,0.52,0.0,2.98
CCCCc1nc2ccc(Br)cc2c(=O)n1N=Cc1cc(Cl)ccc1OCC1CCN(C)CC1,0.9,0.22,1.0,2.87,0.34,0.66,2.72
CN1CCC(NC(=O)c2ccc(CSc3nnc(-c4ccccc4)n3-c3ccccc3)cc2)C1,0.65,0.1,0.99,2.24,0.4,0.24,2.6
Clc1ccc2c(N=Cc3ccccc3)ccnc2c1,0.96,0.62,1.0,2.86,0.62,0.0,2.08
Cc1ccc(-n2c(SCCN3CCOCC3)nc3c(sc(=S)n3-c3cc(C)ccc3F)c2=O)cc1,0.88,0.4,1.0,2.43,0.2,0.01,2.74
CCOc1ccc(N(CC(=O)N(Cc2ccccc2Cl)[C@@H](Cc2ccccc2)C(=O)[O-])S(=O)(=O)c2ccc(Cl)cc2)cc1,0.17,0.02,0.99,1.79,0.2,0.01,3.17
COc1ccccc1N1C(=O)[C@@H]2[C@H](C1=O)[C@H]1c3ccccc3C=CN1[C@H]2C(=O)[O-],0.87,0.07,0.96,-1.82,0.73,0.0,3.84
Cc1cccc(C)c1NCC(=O)NC(=O)[C@@H](Cc1ccccc1)NC(=O)C(C)C[C@H](NC(=O)[O-])C(=O)O,0.58,0.12,0.37,-1.92,0.27,0.0,3.66
CCOc1ccccc1NC(=O)c1sc(NC(=O)CCC2CC2)c(C(=O)OC)c1C,0.79,0.2,1.0,2.69,0.57,0.0,2.21
CN(C)CCCOc1ccc(-n2c(SCC(=O)Nc3ccccc3)nnc2-c2cccs2)cc1,0.75,0.3,0.93,2.93,0.23,0.01,2.26
COc1ccc(-c2cc3c(c(OC)c2)OCCN(C(=O)Cn2nccc2C)C3)nn1,0.65,0.15,1.0,-3.17,0.64,0.0,2.7
COc1cccc(CN(C(=O)CN(C)S(=O)(=O)c2ccc(C)cc2)[C@H](Cc2ccccc2)C(=O)NCC(C)C)c1,0.21,0.09,1.0,1.43,0.34,0.01,2.92
N#Cc1ccc(N2C(=S)N[C@@H](c3ccccn3)[C@H]2c2cccn2Cc2ccccn2)cc1,0.43,0.16,0.97,0.83,0.47,0.0,3.62
COc1ccc(-n2nc(-c3ccccc3)c3c2N(CC(=O)NCCCN2CCOCC2)C(=O)CS[C@H]3c2ccccc2Cl)cc1,0.45,0.32,1.0,-1.65,0.24,0.09,3.25
CNc1ccc(-c2nn(-c3ccccc3)cc2/C=C2\SC(=S)N(Cc3ccccc3Cl)C2=O)cc1,0.62,0.24,1.0,3.82,0.23,0.01,2.44
CC[C@H](C(=O)NC(C)(C)C)N(Cc1ccccc1C)C(=O)CN(Cc1ccc(Cl)cc1)c1cc(OC)ccc1OC,0.32,0.04,1.0,2.82,0.27,0.01,3.13
CCOc1ccc([C@@H](C(=O)NCCC(C)C)N(Cc2ccccc2)C(=O)CN2C(=O)NC3(CC3)C2=O)cc1OC,0.79,0.19,1.0,0.33,0.37,0.0,3.47
C=CCc1cc(C=N)c(OCc2ccc([N+](=O)[O-])cc2)c(OC)c1,0.7,0.86,1.0,1.76,0.34,0.0,2.57
O=C1C(=O)N(CCc2ccccc2)[C@H](c2cccc(Br)c2)/C1=C(\O)c1ccc2c(c1)OCCO2,0.32,0.04,1.0,2.22,0.29,0.0,2.75
COc1cc([N+](=O)[O-])ccc1N1C[C@H](C(=O)OCc2cccs2)CC1=O,0.91,0.89,1.0,0.7,0.44,0.0,2.78
CCOc1ccc([C@@H]2C(C(=O)OC)=CN=c3sc(=Cc4ccc(F)cc4)c(=O)n32)cc1OCC,0.69,0.11,1.0,0.28,0.48,0.0,3.25
CCOc1ccc(-c2nn(-c3ccccc3)cc2C=c2[nH]c3n(c2=O)[C@H](c2ccc(C(=O)OC)cc2)C(C(=O)OCC(C)C)=C(C)N=3)cc1,0.1,0.14,1.0,1.11,0.21,0.02,3.6
O=[N+]([O-])c1cccc(S(=O)(=O)Nc2nc3ccccc3nc2Nc2ccc(CN3CCN(c4ccccc4)CC3)cc2)c1,0.68,0.18,1.0,2.88,0.17,0.03,2.5
COc1ccc(-n2c(SCC(=O)NCC3CCCO3)nc3ccccc32)cc1,0.84,0.33,1.0,1.45,0.62,0.0,2.55
COc1cc2c(c(OC)c1OC)-c1ccc(N[C@@H](C)C(=O)Nc3ccc4nc(C5CCN(C)CC5)[nH]c4c3)c(=O)cc1[C@H](NC(C)=O)CC2,0.51,0.43,0.98,-2.54,0.19,0.05,3.87
Cc1ccc(-c2ccc(-c3ccc(N=Nc4cc(C)c(N)cc4N)cc3)cc2)c(C(=O)O)c1,0.03,0.53,0.9,3.95,0.23,0.02,2.49
